id,mileage,customer_id,dealership_id,interior_condition,powertrain,vehicle_type,structural_damage,exterior_condition,windshield,tires_status,tires_needs_new,tires_brand,wheels_alloy,wheels_size,wheels_condition,year,style,trans,engine,drivetrain,division,base_price,tires,seats,paint,color,interior_color,seconds_in_disposition,transports_count,bought_price,costs,profit
5314,51075,440,187,2,2,Front-Line,1,1,2,1,0,Yokohama,0,18,2,2012,2WD 4dr SL,Automatic,3.5L V6 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Nissan,34286,0,Leather,0,Platinum Graphite Metallic,Black,2791422,1,17000,170,bad
5259,119898,404,198,2,1,Live-Trade,1,2,2,1,0,Yokohama,0,15,0,2008,4dr HB Auto S,Automatic,2.5L 5 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Volkswagen,18118,0,Cloth,0,Reflex Silver Metallic,Art Gray,1223848,1,2500,90,bad
5262,115424,404,198,2,2,Live-Trade,1,2,2,2,2,Michelin,0,19,2,2011,4dr Sdn 550i RWD,6 Speed Manual Transmission,4.4L 8 Cylinder Engine Gasoline Fuel,Rear Wheel Drive,BMW,55385,0,"Black, Nappa Leather Seat Trim",0,Space Gray Metallic,Black,2223617,1,17000,90,bad
5413,45835,358,181,2,2,Live-Trade,1,0,2,2,2,Yokohama,0,17,1,2010,RWD 4dr Journey,Automatic,3.5L V6 Cylinder Engine Gasoline Fuel,Rear Wheel Drive,Infiniti,33259,0,"Graphite, Leather Seat Trim",0,Liquid Platinum Metallic,Graphite,370140,1,16700,55,good
5452,87087,418,204,2,2,Front-Line,1,2,2,1,0,Yokohama,0,19,2,2012,4dr Sdn RWD,Automatic,4.6L 8 Cylinder Engine Gasoline Fuel,Rear Wheel Drive,Lexus,62219,0,"Black/Saddle Tan, Leather Seat Trim",0,Obsidian,Black/Saddle Tan,2195109,1,29000,90,bad
5554,39314,457,225,2,2,In-Stock Trade,1,2,2,2,0,BFGoodrich,0,18,2,2013,4WD 2dr Sport,5 Speed Automatic Transmission,3.6l V6 Cylinder Engine Gasoline Fuel,Four Wheel Drive,Jeep,21808,0,"Black Interior, Cloth Seat Trim",0,Bright White,Black Interior,868454,1,21000,365,average
5568,31488,261,58,1,2,Live-Trade,1,0,2,0,4,Continental Tire,0,17,1,2013,5dr EX-L,Automatic,3.5L V6 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Honda,32203,0,Leather,0,Taffeta White,Gray,856638,1,23800,251,average
5474,28138,32,27,2,2,Live-Trade,1,2,2,1,0,Firestone,0,17,2,2014,4WD 4dr Trailhawk,Transmission: 9 Speed 948 Te Automatic 2 Speed Ptu,Engine: 3.2 L V6 24 V Vvt,Four Wheel Drive,Jeep,28604,0,"Black, Leather Trimmed Bucket Seats",0,Eco Green Pearlcoat,Black,968622,1,22800,350,average
5329,60944,164,92,2,2,Aged Unit,1,0,2,2,0,Hankook,0,18,1,2011,2WD 4dr SX,Automatic,2.0l 4 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Kia,24070,0,Premium Pkg W/leather Seats,0,Techno Orange,Black,2612411,1,15000,430,bad
5317,234947,238,135,1,2,Fresh Trade,1,1,2,2,0,Goodyear,0,17,1,2011,2WD 5dr LX,Automatic,2.4L 4 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Honda,20380,0,Cloth,0,Taffeta White,Gray,857277,1,5500,225,good
5436,125374,434,178,1,2,Aged Unit,1,1,2,0,4,Firestone,0,17,1,2008,4dr SE,Automatic,3.5L V6 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Nissan,31852,0,Leather,0,Radiant Silver Metallic,Beige,4533020,0,3800,-435,bad
5434,167859,434,178,2,2,Aged Unit,1,1,2,2,0,Continental Tire,0,16,1,2006,4dr Sdn V6 Auto 3.5 SL,Automatic,3.5L V6 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Nissan,25340,0,Leather,0,Super Black,Blond,4532627,0,2500,-515,bad
5532,109113,434,178,2,2,Aged Unit,1,1,2,0,4,Other,0,16,0,2005,4dr Touring,4 Speed Automatic Transmission,2.7 L 24 Valve Ffv V6 Engine,Front Wheel Drive,Chrysler,18759,0,Cloth Low Back Front Bucket Seats,0,Satin Jade Pearl,Dark Slate Gray,352683,0,900,0,bad
